X;T1;T2;T3;T4
0;27.6;28.9;27.8;27.8
0;27.7;28.5;27.4;27.6
0;27.7;28.4;27.1;27.4
0;27.6;28.2;27.0;27.4
0;27.5;28.0;27.0;27.5
0;27.5;27.9;26.8;27.9
8;28.0;50.0;26.9;27.0
14;27.4;52.8;26.9;28.0
19;27.4;61.7;26.9;29.3
31;27.9;68.4;27.0;39.6
60;33.7;73.6;33.1;76.9
64;34.7;73.8;35.8;78.5
66;35.8;73.9;39.9;79.9
70;38.0;74.3;47.5;81.9
78;44.7;74.8;58.1;83.7
79;60.7;75.0;63.1;84.4
80;64.3;75.2;64.7;84.7
80;88.8;75.9;67.2;85.1
80;73.2;75.5;68.4;85.3
80;80.6;75.5;74.2;86.6
80;83.0;75.7;76.3;86.6
80;84.5;75.2;78.9;87.4
80;84.6;75.4;79.5;88.2
80;84.8;74.9;79.6;87.6
